Accuracy,Kappa,C,Resample
0.5355191256830601,0,0.01,Training1026
0.5437158469945356,0.02699863096564664,0.1,Training1026
0.5382513661202186,0.00795509222133138,0.5,Training1026
0.5382513661202186,0.01043099862413215,1,Training1026
0.5327868852459017,0.0012128562765311678,2,Training1026
0.5355191256830601,0.0016686990565434646,0.01,Training1027
0.5382513661202186,0.014530159640569687,0.1,Training1027
0.5327868852459017,0.0012128562765311678,0.5,Training1027
0.5355191256830601,8.350462487151945e-4,1,Training1027
0.5355191256830601,0.005816183049980946,2,Training1027
0.5382513661202186,0,0.01,Training1028
0.5409836065573771,0.008162080201309657,0.1,Training1028
0.546448087431694,0.03134466375434467,0.5,Training1028
0.5382513661202186,0.008972345948024577,1,Training1028
0.5355191256830601,0.0062290368950647474,2,Training1028
0.5382513661202186,0,0.01,Training1029
0.5382513661202186,0.001807442791208101,0.1,Training1029
0.5382513661202186,0.011632737847943503,0.5,Training1029
0.5382513661202186,0.01074752902792426,1,Training1029
0.5382513661202186,0.001807442791208101,2,Training1029
0.5546448087431693,0.05349833412660626,0.01,Training1030
0.5355191256830601,-0.0027397260273972937,0.1,Training1030
0.5382513661202186,9.045388467131e-4,0.5,Training1030
0.546448087431694,0.02525268730948195,1,Training1030
0.5491803278688525,0.0315597036466855,2,Training1030
0.4672131147540984,-0.09533748733846967,0.01,Training1031
0.5382513661202186,0.001807442791208101,0.1,Training1031
0.5382513661202186,0.01427888446215131,0.5,Training1031
0.5382513661202186,0,1,Training1031
0.546448087431694,0.02525268730948195,2,Training1031
0.505464480874317,-0.050090352851662925,0.01,Training1032
0.5491803278688525,0.0315597036466855,0.1,Training1032
0.5382513661202186,0.001807442791208101,0.5,Training1032
0.5437158469945356,0.018057385213507658,1,Training1032
0.5382513661202186,0.01427888446215131,2,Training1032
0.5491803278688525,0.04497580415599213,0.01,Training1033
0.5382513661202186,0.01043099862413215,0.1,Training1033
0.5355191256830601,0,0.5,Training1033
0.546448087431694,0.0316225693337584,1,Training1033
0.5355191256830601,0,2,Training1033
0.5601092896174863,0.07549656405911687,0.01,Training1034
0.5355191256830601,0.010023866348448587,0.1,Training1034
0.5382513661202186,0.017722725107193846,0.5,Training1034
0.5327868852459017,0,1,Training1034
0.5355191256830601,0.010779357054278365,2,Training1034
0.5355191256830601,8.350462487151945e-4,0.01,Training1035
0.5355191256830601,0.0016686990565434646,0.1,Training1035
0.5355191256830601,0,0.5,Training1035
0.5382513661202186,0.00795509222133138,1,Training1035
0.5300546448087432,-0.00839366950727239,2,Training1035
0.5683060109289617,0.09109769898151637,0.01,Training1036
0.5491803278688525,0.0394464768570065,0.1,Training1036
0.5382513661202186,0.008781769815070097,0.5,Training1036
0.5355191256830601,0.0016686990565434646,1,Training1036
0.546448087431694,0.034024421266853365,2,Training1036
