Accuracy,Kappa,sigma,C,Resample
0.5628415300546448,0.09011808576755746,0.13747544815911564,0.5,Training1009
0.5327868852459017,0.02922289436947421,0.23701577217798714,0.5,Training1009
0.5519125683060109,0.06224221972253455,0.037935124140244136,1,Training1009
0.5273224043715847,-0.004760544606302935,0.13747544815911564,1,Training1009
0.5191256830601093,-0.00568288265784039,0.23701577217798714,1,Training1009
0.5409836065573771,0.02241724697128687,0.037935124140244136,0.25,Training1010
0.5245901639344263,-0.0017932987258139693,0.13747544815911564,0.25,Training1010
0.5163934426229508,-0.01637955379836206,0.23701577217798714,0.25,Training1010
0.5683060109289617,0.09578759733558485,0.037935124140244136,0.5,Training1010
0.5628415300546448,0.09048550927220195,0.13747544815911564,0.5,Training1010
0.5218579234972678,-0.016376273445682175,0.23701577217798714,0.5,Training1010
0.5546448087431693,0.059051764928550944,0.037935124140244136,1,Training1010
0.546448087431694,0.05496966868875421,0.13747544815911564,1,Training1010
0.5355191256830601,0.010023866348448587,0.23701577217798714,1,Training1010
0.5710382513661202,0.10089187920513203,0.037935124140244136,0.25,Training1011
0.5218579234972678,-0.019612213059951183,0.13747544815911564,0.25,Training1011
0.5300546448087432,0.012176751192568527,0.23701577217798714,0.25,Training1011
0.5546448087431693,0.05732705495686226,0.037935124140244136,0.5,Training1011
0.5327868852459017,0.01106089814492931,0.13747544815911564,0.5,Training1011
0.546448087431694,0.049737237237237386,0.23701577217798714,0.5,Training1011
0.5628415300546448,0.08408408408408403,0.037935124140244136,1,Training1011
0.546448087431694,0.05664244456866037,0.13747544815911564,1,Training1011
0.46174863387978143,-0.11011547344110865,0.23701577217798714,1,Training1011
0.5737704918032787,0.10987777500623595,0.037935124140244136,0.25,Training1012
0.5409836065573771,0.01587708066581296,0.13747544815911564,0.25,Training1012
0.5273224043715847,3.1576620670060415e-4,0.23701577217798714,0.25,Training1012
0.5573770491803278,0.05417304747320054,0.037935124140244136,0.5,Training1012
0.5355191256830601,0.01805441575658103,0.13747544815911564,0.5,Training1012
0.5300546448087432,0.012176751192568527,0.23701577217798714,0.5,Training1012
