Accuracy,Kappa,degree,scale,C,Resample
0.49507389162561577,-0.04405529491457378,3,0.001,1,Training1003
0.5246305418719212,5.102170973749267e-4,1,0.01,1,Training1003
0.5221674876847291,-0.0044122522890150465,2,0.01,1,Training1003
0.5344827586206896,0.02619355821213727,3,0.01,1,Training1003
0.5246305418719212,0.004067210656091868,1,0.1,1,Training1003
0.5665024630541872,0.10161180819231053,2,0.1,1,Training1003
0.5615763546798029,0.09048805658335217,3,0.1,1,Training1003
0.5270935960591133,0,1,0.001,0.25,Training1004
0.5369458128078818,0.025782406698320343,2,0.001,0.25,Training1004
0.49507389162561577,-0.05608425326735198,3,0.001,0.25,Training1004
0.5270935960591133,0.0028143069129612443,1,0.01,0.25,Training1004
0.5270935960591133,0,2,0.01,0.25,Training1004
0.5517241379310345,0.06579346616769494,3,0.01,0.25,Training1004
0.5344827586206896,0.021973539983175555,1,0.1,0.25,Training1004
0.5295566502463054,0.006049885923761108,2,0.1,0.25,Training1004
0.5270935960591133,0,3,0.1,0.25,Training1004
0.5369458128078818,0.026329217267067977,1,0.001,0.5,Training1004
0.541871921182266,0.038306759716774476,2,0.001,0.5,Training1004
0.541871921182266,0.037767584097859214,3,0.001,0.5,Training1004
0.45073891625615764,-0.07724341432072902,1,0.01,0.5,Training1004
0.5270935960591133,0,2,0.01,0.5,Training1004
0.5344827586206896,0.01922339528106523,3,0.01,0.5,Training1004
0.5517241379310345,0.06371008616320326,1,0.1,0.5,Training1004
0.5591133004926109,0.08042515500442873,2,0.1,0.5,Training1004
0.4408866995073892,-0.13212785298380947,3,0.1,0.5,Training1004
0.5320197044334976,0.014311270125223438,1,0.001,1,Training1004
0.5344827586206896,0.019774660841572644,2,0.001,1,Training1004
0.5270935960591133,5.641314939228755e-4,3,0.001,1,Training1004
0.5270935960591133,0,1,0.01,1,Training1004
0.5270935960591133,0,2,0.01,1,Training1004
0.5541871921182266,0.06703399944138343,3,0.01,1,Training1004
0.5270935960591133,0,1,0.1,1,Training1004
0.5270935960591133,0,2,0.1,1,Training1004
0.5541871921182266,0.07324639947537015,3,0.1,1,Training1004
0.5467980295566502,0.056052565074551315,1,0.001,0.25,Training1005
0.5369458128078818,0.026329217267067977,2,0.001,0.25,Training1005
0.5024630541871922,-0.04383464005702071,3,0.001,0.25,Training1005
0.5566502463054187,0.0786222199808362,1,0.01,0.25,Training1005
0.5295566502463054,0.0054890091568985016,2,0.01,0.25,Training1005
0.5320197044334976,0.013756776107190291,3,0.01,0.25,Training1005
0.5270935960591133,0,1,0.1,0.25,Training1005
0.5566502463054187,0.076059472033984,2,0.1,0.25,Training1005
0.5665024630541872,0.10751398880895285,3,0.1,0.25,Training1005
0.5270935960591133,0,1,0.001,0.5,Training1005
0.5443349753694581,0.04320909021426198,2,0.001,0.5,Training1005
0.5320197044334976,0.014311270125223438,3,0.001,0.5,Training1005
0.5344827586206896,0.02525342343944494,1,0.01,0.5,Training1005
0.5270935960591133,0,2,0.01,0.5,Training1005
0.5369458128078818,0.02523498161013478,3,0.01,0.5,Training1005
0.541871921182266,0.04099359951234387,1,0.1,0.5,Training1005
0.5714285714285714,0.11032189814115158,2,0.1,0.5,Training1005
0.5640394088669951,0.0927202484660253,3,0.1,0.5,Training1005
0.5270935960591133,0.003375268487265991,1,0.001,1,Training1005
0.541871921182266,0.044730051105601285,2,0.001,1,Training1005
0.5270935960591133,0.001690487167665453,3,0.001,1,Training1005
0.5394088669950738,0.031780039278700184,1,0.01,1,Training1005
0.5394088669950738,0.03448889793219199,2,0.01,1,Training1005
0.5295566502463054,0.00940190592984327,3,0.01,1,Training1005
0.5098522167487685,-0.028044280442804426,1,0.1,1,Training1005
0.5517241379310345,0.05951532430506043,2,0.1,1,Training1005
0.5320197044334976,0.010974921790861167,3,0.1,1,Training1005
0.5467980295566502,0.056052565074551315,1,0.001,0.25,Training1006
0.5270935960591133,0,2,0.001,0.25,Training1006
0.5270935960591133,0.003375268487265991,3,0.001,0.25,Training1006
0.541871921182266,0.03938330025950234,1,0.01,0.25,Training1006
0.5492610837438424,0.06039911981182201,2,0.01,0.25,Training1006
0.5320197044334976,0.013756776107190291,3,0.01,0.25,Training1006
0.5344827586206896,0.01867150932296584,1,0.1,0.25,Training1006
0.541871921182266,0.037767584097859214,2,0.1,0.25,Training1006
0.5665024630541872,0.10258213603938499,3,0.1,0.25,Training1006
0.5246305418719212,-0.004357968673895831,1,0.001,0.5,Training1006
0.5270935960591133,0,2,0.001,0.5,Training1006
0.43349753694581283,-0.13028953229398668,3,0.001,0.5,Training1006
0.5270935960591133,0,1,0.01,0.5,Training1006
0.5344827586206896,0.020875334949598146,2,0.01,0.5,Training1006
0.4876847290640394,-0.06293424629946634,3,0.01,0.5,Training1006
0.5443349753694581,0.046948356807511506,1,0.1,0.5,Training1006
0.5714285714285714,0.11130679816836912,2,0.1,0.5,Training1006
0.46551724137931033,-0.10433954222968746,3,0.1,0.5,Training1006
0.5566502463054187,0.0877315623907724,1,0.001,1,Training1006
0.541871921182266,0.037767584097859214,2,0.001,1,Training1006
0.5270935960591133,5.641314939228755e-4,3,0.001,1,Training1006
0.5270935960591133,0,1,0.01,1,Training1006
0.5394088669950738,0.03448889793219199,2,0.01,1,Training1006
0.541871921182266,0.038306759716774476,3,0.01,1,Training1006
0.5270935960591133,0,1,0.1,1,Training1006
0.5344827586206896,0.017012118572416586,2,0.1,1,Training1006
0.5197044334975369,-0.014193845917347925,3,0.1,1,Training1006
0.5246305418719212,5.102170973749267e-4,1,0.001,0.25,Training1007
0.5246305418719212,0,2,0.001,0.25,Training1007
0.5246305418719212,0,3,0.001,0.25,Training1007
0.5246305418719212,5.102170973749267e-4,1,0.01,0.25,Training1007
0.5246305418719212,0.0015290909554269794,2,0.01,0.25,Training1007
0.5221674876847291,-0.002877587919223604,3,0.01,0.25,Training1007
0.5320197044334976,0.018300287612308966,1,0.1,0.25,Training1007
0.5320197044334976,0.018300287612308966,2,0.1,0.25,Training1007
0.5689655172413793,0.11185279631990809,3,0.1,0.25,Training1007
