Accuracy,Kappa,C,sigma,Resample
0.5382513661202186,9.045388467131e-4,0.1,0.005,Training1047
0.5519125683060109,0.043868871260632485,0.25,0.005,Training1047
0.5327868852459017,-0.0063675832127351225,0.5,0.005,Training1047
0.40437158469945356,-0.17844799574631492,1,0.005,Training1047
0.5792349726775956,0.12252078338574572,0.001,0.01,Training1047
0.5382513661202186,0,0.1,0.01,Training1047
0.5819672131147541,0.13237891605466195,0.25,0.01,Training1047
0.5765027322404371,0.1270964763809816,0.5,0.01,Training1047
0.546448087431694,0.02525268730948195,1,0.01,Training1047
0.5355191256830601,0,0.001,0.001,Training1048
0.5355191256830601,0,0.1,0.001,Training1048
0.5136612021857924,-0.03666221118961242,0.25,0.001,Training1048
0.5628415300546448,0.10518916936617552,0.5,0.001,Training1048
0.5355191256830601,0,1,0.001,Training1048
0.546448087431694,0.027592829705505677,0.001,0.002,Training1048
0.5765027322404371,0.12655889145496518,0.1,0.002,Training1048
0.5901639344262295,0.14618973561430784,0.25,0.002,Training1048
0.5519125683060109,0.05348807871830445,0.5,0.002,Training1048
0.5327868852459017,-0.004622941346431854,1,0.002,Training1048
0.412568306010929,-0.17304194865984912,0.001,0.005,Training1048
0.5819672131147541,0.12522260755459727,0.1,0.005,Training1048
0.5546448087431693,0.05265665195159883,0.25,0.005,Training1048
0.5355191256830601,0,0.5,0.005,Training1048
0.5409836065573771,0.0166954519286128,1,0.005,Training1048
0.5737704918032787,0.09965939195155794,0.001,0.01,Training1048
0.5519125683060109,0.04959148774463215,0.1,0.01,Training1048
0.5327868852459017,-0.005462198374192786,0.25,0.01,Training1048
0.5081967213114754,-0.03970708919891427,0.5,0.01,Training1048
0.5355191256830601,0,1,0.01,Training1048
0.5355191256830601,0,0.001,0.001,Training1049
0.4344262295081967,-0.15628338573303627,0.1,0.001,Training1049
0.5819672131147541,0.15474716981132072,0.25,0.001,Training1049
0.5710382513661202,0.11030254234663851,0.5,0.001,Training1049
0.5683060109289617,0.11284977908689246,1,0.001,Training1049
0.5491803278688525,0.03465583938105459,0.001,0.002,Training1049
0.546448087431694,0.0316225693337584,0.1,0.002,Training1049
0.5355191256830601,0,0.25,0.002,Training1049
0.5601092896174863,0.09564443353080185,0.5,0.002,Training1049
0.5710382513661202,0.11386978379545366,1,0.002,Training1049
0.48360655737704916,-0.07885461180947646,0.001,0.005,Training1049
0.42896174863387976,-0.16652941714704017,0.1,0.005,Training1049
0.5081967213114754,-0.03885454774820229,0.25,0.005,Training1049
0.5081967213114754,-0.03885454774820229,0.5,0.005,Training1049
0.5437158469945356,0.022954698040218876,1,0.005,Training1049
0.4207650273224044,-0.16343789360043184,0.001,0.01,Training1049
0.4180327868852459,-0.11876811802187073,0.1,0.01,Training1049
0.4180327868852459,-0.15319073400195257,0.25,0.01,Training1049
0.5792349726775956,0.11265743073047858,0.5,0.01,Training1049
0.5355191256830601,0,1,0.01,Training1049
